timestamp,x,y,z
1733479065.791866,0.214263,-0.167384,0.691729
1733479065.895930,0.216001,-0.172090,0.690156
1733479066.008043,0.217597,-0.175083,0.691644
1733479066.069330,0.217611,-0.177033,0.691784
1733479066.172970,0.218046,-0.183496,0.688339
1733479066.281316,0.217823,-0.187128,0.689700
1733479066.393356,0.217846,-0.191508,0.688260
1733479066.508304,0.215062,-0.192043,0.693315
1733479066.556455,0.213128,-0.191329,0.696351
1733479066.664350,0.213205,-0.196332,0.688231
1733479066.773971,0.211028,-0.195660,0.688821
1733479066.884984,0.210168,-0.195034,0.687612
1733479066.992891,0.211777,-0.193833,0.685673
1733479067.104960,0.211997,-0.191758,0.683208
1733479067.162262,0.210774,-0.188557,0.686805
1733479067.276733,0.211402,-0.185244,0.686545
1733479067.379413,0.213216,-0.183192,0.681214
1733479067.491710,0.213173,-0.181043,0.674357
1733479067.598873,0.212464,-0.176809,0.671748
1733479067.705074,0.211752,-0.171339,0.671642
1733479067.763100,0.211065,-0.168677,0.672804
1733479067.871885,0.210385,-0.163301,0.671461
