Command,Speed (mm/s),Initial Position (mm),End Position (mm),Time (s),ArUco ID,Translation X (m),Translation Y (m),Translation Z (m),Rotation X,Rotation Y,Rotation Z,Rotation W
P200,240.0,0.0,200.0,1741944811.6850188,aruco_6,0.39473540510475114,0.05450311982113097,0.04539863533886124,0.05778805873668468,0.07166473949279113,0.9956924196482351,-0.011013675176223878
P200,240.0,0.0,200.0,1741944811.6854725,aruco_10,0.7631204569270962,0.05466348505345528,0.025632558745988576,0.029899537722394058,0.015772209486497296,0.999419327710289,0.0042723154807590424
P200,240.0,0.0,200.0,1741944811.6858177,aruco_3,0.21117836943192364,-0.03787427825997235,0.05734112206061692,-0.052706242010814114,-0.024060175153227312,0.9982900981974147,-0.007747905436311348
P200,240.0,0.0,200.0,1741944811.6860852,aruco_1,0.012638930020518524,-0.044496267613838875,0.02015185138384279,-0.016814049579973032,-0.08907945459845394,0.9958815112548809,-0.0014643673414009896
P200,240.0,0.0,200.0,1741944811.686244,aruco_5,0.39652566717216786,-0.03889939664988981,0.05783873601828726,0.034008289644972746,-0.01025990416506951,0.9993083402529959,-0.011000087500627295
P200,240.0,0.0,200.0,1741944811.6863945,aruco_7,0.5810000594812355,-0.03980103580124972,0.04589485482221589,0.08202429761839171,-0.05184379471141243,0.9952531980926546,0.007436215803911099
P200,240.0,0.0,200.0,1741944811.6865613,aruco_9,0.763370295327295,-0.03990009794459312,0.03235473036868275,0.03140977060685169,-0.010076647096056431,0.9994546408866861,0.0015160897151564802
P200,240.0,0.0,200.0,1741944811.686723,aruco_0,0.10436033253435661,0.005381867238165514,0.041475500031413204,0.09624330895214832,0.04170431330311512,0.9944795493198327,-0.0028968434737057735
P200,240.0,0.0,200.0,1741944811.7978606,aruco_2,0.01929347956346239,0.05513547813985365,0.034694101033909464,-0.043541412783061464,0.06774107884233625,0.9966414423131401,-0.014870013914932494
P200,240.0,0.0,200.0,1741944811.7981703,aruco_8,0.5830191735477417,0.0589875327399324,0.030556224551892663,0.05566114942724264,0.023300645413376467,0.9981188581431778,0.010846729889174364
P200,240.0,0.0,200.0,1741944811.7983217,aruco_4,0.20765087160637472,0.05439217303515509,0.04073341872496683,-0.011542327207299525,0.06169915377449121,0.9980208850774781,0.0037805216950709203
P200,240.0,0.0,200.0,1741944811.798458,aruco_6,0.39468115348667565,0.05445392801803421,0.04440016265804114,0.058370890918301874,0.06607906958496429,0.9960464836420195,-0.010853030714783215
P200,240.0,0.0,200.0,1741944811.7986028,aruco_10,0.7634931354602741,0.05468547696071776,0.02473849232489822,0.030974001129355867,0.014937510355443938,0.9994048387886479,0.002727722593606858
P200,240.0,0.0,200.0,1741944811.7987356,aruco_3,0.2111993134053902,-0.037858520804153264,0.057333104461303686,-0.04880109125007481,-0.023345782306881016,0.9985128582307112,-0.006744632997272005
P200,240.0,0.0,200.0,1741944811.7990496,aruco_1,0.011709955399202998,-0.04477981536832945,0.01854926194276063,-0.02057746509766993,-0.0905800309772708,0.9956733926144871,-0.002512266346066958
P200,240.0,0.0,200.0,1741944811.7992156,aruco_5,0.3965218691983093,-0.03909462001675226,0.056754124210064316,0.037763408029812956,0.004303901105782876,0.9992063510956201,-0.01191887548317479
P200,240.0,0.0,200.0,1741944811.7993896,aruco_7,0.5805128458839998,-0.03934996405827171,0.04867344714545219,0.0801500155386464,-0.0542233351791971,0.9952788660379787,0.007468187894949707
P200,240.0,0.0,200.0,1741944811.7995539,aruco_9,0.764571238975832,-0.040232228659869626,0.029773171228105966,0.028487821713064812,-0.008038830283019986,0.9995605430197226,0.0015913167921507668
P200,240.0,0.0,200.0,1741944811.7996814,aruco_0,0.11427562082691334,0.004733144865142036,0.033829860149490965,0.4127760588231578,0.045566450746006286,0.9095840129663281,0.01401895439076628
P200,240.0,0.0,200.0,1741944811.9075723,aruco_2,0.01935051954582362,0.05514505015452046,0.03486109492022993,-0.04533856441328207,0.06289932211944531,0.9969166908250281,-0.012049549229857077
P200,240.0,0.0,200.0,1741944811.907919,aruco_8,0.5826597488360742,0.0589757292863491,0.032185686546405856,0.055392205216199614,0.025739480601632916,0.9980659801611468,0.011553014732298968
P200,240.0,0.0,200.0,1741944811.9080713,aruco_4,0.20787831943924417,0.054388329830860435,0.04156287353620025,-0.010753745430949502,0.06156887617931168,0.9980365782185044,0.0040754475245471655
P200,240.0,0.0,200.0,1741944811.908205,aruco_6,0.39472011445721994,0.05449964008204532,0.04638736434508406,0.05974031274107007,0.07519879446399845,0.9953124993518806,-0.011369044898543006
P200,240.0,0.0,200.0,1741944811.9083338,aruco_10,0.7625362146406156,0.054704166689497055,0.026874520364560395,0.031273885083213236,0.017351740046081185,0.9993508398211274,0.004330173720111763
P200,240.0,0.0,200.0,1741944811.9084585,aruco_0,0.12596067809360745,0.004470800072244596,0.031204354418443825,0.4007372784840326,0.06471053577299073,0.9138352072688655,0.011286208329244892
P200,240.0,0.0,200.0,1741944811.9087596,aruco_1,0.013879516606082554,-0.044013263375344,0.022633967291290302,-0.023080306211214627,-0.09240448265956952,0.9954532145462002,-0.0012645249988530991
P200,240.0,0.0,200.0,1741944811.9089847,aruco_3,0.21127797607500307,-0.03781097077855142,0.05761372502818407,-0.05105667663654851,-0.025264992010331853,0.9983537978340399,-0.006676861452337851
P200,240.0,0.0,200.0,1741944811.909187,aruco_5,0.3965030499159586,-0.039245171181956265,0.05554605597603102,0.030759978179894926,-0.0015957034208106443,0.9994556455731225,-0.011818639208720118
P200,240.0,0.0,200.0,1741944811.9093688,aruco_7,0.5811744434094737,-0.039850884523094335,0.04529520491221306,0.07817537579846981,-0.049191662278340355,0.9957015696672785,0.0068676946001028924
P200,240.0,0.0,200.0,1741944811.9095438,aruco_9,0.7634925176596198,-0.03999273958622174,0.03213261562661984,0.034628163212830965,-0.007481664041268498,0.9993664763850054,0.0033986924680048606
